Chr	Start	End	Omega
chr1	60069	153985	1.010669
chr1	60069	153985	1.1217629999999998
chr1	60069	61322	1.233387
chr1	60069	153985	1.2296040000000001
chr1	60069	153985	1.2274180000000001
chr1	60069	153985	1.194185
chr1	60069	153985	1.256866
chr1	60069	76889	1.277311
chr1	60069	76889	1.283168
chr1	60069	76889	1.296347
chr1	60069	153985	1.310003
chr1	60069	153985	1.3393959999999998
chr1	60146	76889	1.398939
chr1	60069	76889	1.53708
chr1	60092	76889	1.594019
chr1	60069	76889	1.6297780000000002
chr1	60069	76889	1.768735
chr1	60069	76889	2.2160450000000003
chr1	60069	73937	3.1298470000000003
chr1	60069	70665	3.350957
chr1	60069	70665	3.629279
chr1	60069	70665	3.6328379999999996
chr1	61179	70665	4.909438
chr1	61265	70665	6.987203999999999
chr1	61341	70665	7.2640080000000005
chr1	61419	70665	7.696675999999999
chr1	61544	70665	8.037643
chr1	61738	69871	9.146069
chr1	61786	69871	11.427749
chr1	61929	69871	12.932332
chr1	61952	69871	9.348997
chr1	62074	69871	9.411191
chr1	62074	69871	10.264271
chr1	62074	68292	21.093582
chr1	62074	69871	19.330811999999998
chr1	62074	69871	18.289270000000002
chr1	63352	69871	21.849785
chr1	62074	69871	12.987021
chr1	61786	70665	4.570018
chr1	60069	73937	2.805059
chr1	60069	79665	2.541061
chr1	60069	124462	2.36541
chr1	60069	153985	2.215045
chr1	60069	158389	2.191921
chr1	60069	158389	2.182464
chr1	60069	158389	2.1845849999999998
chr1	61766	157212	2.3993700000000002
chr1	61766	157212	2.5071790000000003
chr1	62074	157212	2.651426
chr1	62074	157212	2.822833
chr1	68474	114110	3.5141129999999996
chr1	68474	114110	3.7968010000000003
chr1	68474	119611	3.598115
chr1	68474	114110	3.469129
chr1	68474	114110	4.682703
chr1	68474	114110	4.4608419999999995
chr1	68474	114110	5.76861
chr1	68474	114110	5.234605999999999
chr1	68474	102191	9.430645
chr1	68474	100199	9.437111
chr1	68474	100199	13.50469
chr1	68474	100199	10.415824
