Chr	Start	End	Omega
chr1	37988	102935	1.1444860000000001
chr1	37988	159851	1.068481
chr1	37988	159851	1.061447
chr1	37988	159851	1.055511
chr1	37988	159851	1.050424
chr1	37988	159851	1.0386790000000001
chr1	37988	159851	1.0355940000000001
chr1	37988	160974	1.035751
chr1	37988	160974	1.032973
chr1	37988	160974	1.030449
chr1	37988	160974	1.0260200000000002
chr1	37988	160974	1.024059
chr1	37988	160974	1.018957
chr1	60069	103111	1.013716
chr1	60069	103111	1.027868
chr1	60069	103111	1.035962
chr1	60069	103111	1.0409899999999999
chr1	60069	103111	1.046992
chr1	60069	103111	1.05437
chr1	60069	103111	1.063769
chr1	60069	103111	1.076302
chr1	60069	103111	1.094054
chr1	60069	106077	1.094131
chr1	60069	108980	1.094203
chr1	60069	114110	1.094272
chr1	60069	115422	1.094336
chr1	100962	203088	1.094695
chr1	101634	203088	1.094651
chr1	101634	207635	1.094695
chr1	102389	207635	1.094651
chr1	102935	207635	1.094606
chr1	103111	207635	1.094558
chr1	103111	207635	1.064586
chr1	103111	207635	1.026825
chr1	60069	216350	1.030353
chr1	60069	216350	1.0554459999999999
chr1	60069	216350	1.068419
chr1	60069	216350	1.07312
chr1	60069	216350	1.0780370000000001
chr1	60069	216350	1.083191
chr1	60069	216350	1.094311
chr1	60069	216350	1.1003370000000001
chr1	60069	216350	1.1067200000000001
chr1	60069	216350	1.113509
chr1	60069	216350	1.120755
chr1	60069	226306	1.127256
chr1	60069	227418	1.1518950000000001
chr1	60069	227684	1.176023
chr1	60069	227684	1.186796
chr1	60069	231614	1.1929020000000001
chr1	60069	231741	1.203812
chr1	60069	231795	1.2086860000000001
chr1	60069	231870	1.213214
chr1	60069	232050	1.217424
chr1	60069	232103	1.224992
chr1	60069	232219	1.2283959999999998
chr1	60069	232231	1.231575
chr1	60069	232438	1.234546
chr1	60069	232505	1.239937
chr1	60069	232590	1.2527030000000001
chr1	60069	232670	1.256126
chr1	60069	232765	1.257723
chr1	60069	232903	1.259253
chr1	60069	232968	1.266126
chr1	60069	233058	1.268608
chr1	60069	233113	1.270989
chr1	60069	233190	1.275548
chr1	60069	233357	1.279968
chr1	60069	233419	1.286569
chr1	60069	233503	1.292181
chr1	37988	233578	1.294658
chr1	37988	233645	1.2959459999999998
chr1	37988	233700	1.29724
chr1	37988	234027	1.298542
chr1	37988	234102	1.301164
chr1	37988	234746	1.302484
chr1	37988	235377	1.303809
chr1	37988	235459	1.306481
chr1	37988	235459	1.319921
chr1	37988	236299	1.3212139999999999
chr1	60069	236299	1.320026
chr1	60069	240814	1.3345690000000001
chr1	60069	240814	1.3510229999999999
chr1	60069	240814	1.367989
chr1	60069	240814	1.385484
chr1	60069	240814	1.40353
chr1	60069	240814	1.4221469999999998
chr1	60069	240814	1.441359
chr1	60069	240814	1.46119
chr1	60139	240814	1.4362620000000001
chr1	60629	240814	1.421289
chr1	60708	240814	1.4174639999999998
chr1	60764	236299	1.410895
chr1	60907	236299	1.405614
chr1	61047	236299	1.402932
chr1	61047	236299	1.4213790000000002
chr1	61324	236299	1.415999
chr1	61433	236299	1.410504
chr1	61518	236299	1.404894
chr1	61579	236299	1.3933520000000001
chr1	61744	236299	1.3752659999999999
chr1	61929	236299	1.359581
chr1	63777	236299	1.37279
chr1	67835	236299	1.369565
chr1	67835	236299	1.389961
chr1	68292	236299	1.386725
chr1	69670	236299	1.383471
chr1	71859	236299	1.3802
chr1	106077	236299	1.377116
