Chr	Start	End	Omega
chr1	37984	161896	1.514989
chr1	62165	74516	1.509665
chr1	37984	161896	1.47999
chr1	62165	81294	1.9034360000000001
chr1	62165	82637	1.894105
chr1	37984	161896	1.56276
chr1	63719	151552	1.846179
chr1	66695	161896	1.699934
chr1	68289	161896	2.124875
chr1	71035	151552	2.332297
chr1	71035	107866	2.885693
chr1	71035	151552	2.6738
chr1	71035	151552	2.373392
chr1	71035	151552	2.457348
chr1	71035	151552	2.469506
chr1	82637	145661	2.6309099999999996
chr1	71035	151552	2.4293169999999997
chr1	101163	145661	2.633832
chr1	101219	114123	4.196151
chr1	101163	145661	3.3952410000000004
chr1	82637	145661	2.3808
chr1	71035	151552	2.326342
chr1	71035	151552	2.436972
chr1	105887	140450	2.688709
chr1	105887	140450	3.015075
chr1	113513	140450	6.3097080000000005
chr1	113684	140450	7.0457350000000005
chr1	113684	140450	8.79095
chr1	113684	140450	3.618104
chr1	113684	140450	2.393081
chr1	113684	140450	2.571454
chr1	113684	145661	1.9445919999999999
chr1	101163	151552	1.697387
chr1	37984	175723	1.554216
chr1	37984	175723	1.4960200000000001
chr1	37984	175723	1.447917
chr1	37984	171743	1.409406
chr1	37984	171743	1.382983
chr1	37984	171743	1.36417
chr1	37984	171743	1.3525690000000001
chr1	37984	171743	1.3479379999999999
chr1	126603	143351	1.451091
chr1	130065	143351	1.771822
chr1	130065	143351	2.360957
chr1	130065	143351	3.8348129999999996
chr1	130065	145321	2.079625
chr1	130065	145334	2.110662
chr1	60165	171743	1.45955
chr1	140450	145661	1.668597
chr1	141165	145661	3.194503
chr1	142556	151552	1.6453360000000001
chr1	118895	171743	2.0400869999999998
chr1	118895	171743	2.278945
chr1	118895	171743	2.581591
chr1	118895	171743	2.558154
chr1	126603	171743	2.938829
chr1	126603	171743	3.4622660000000005
chr1	126603	171743	3.449953
chr1	126603	171743	3.3398519999999996
chr1	126603	171743	4.017638
chr1	126603	171743	4.032818
chr1	151939	171743	4.775407
chr1	126603	171743	5.309762999999999
chr1	153756	171743	8.351002000000001
chr1	153993	168681	13.962014000000002
chr1	156845	168681	60.489563000000004
chr1	156845	168760	25.798256
chr1	156845	168839	16.783327
chr1	126603	171743	8.671737
chr1	126603	171743	4.421747
chr1	126603	171743	3.8010639999999998
chr1	126603	171743	3.341554
chr1	126603	171743	2.725299
chr1	126603	169387	2.41146
chr1	126603	169387	2.456033
chr1	167982	265338	2.3647270000000002
chr1	167982	265338	2.4637130000000003
chr1	167982	196251	2.697437
chr1	167982	196251	3.102293
chr1	167982	196251	3.692725
chr1	167982	192592	5.037533
chr1	167982	180324	13.345789000000002
chr1	167982	181720	8.925073
chr1	167982	182608	7.447774000000001
chr1	167982	181720	6.469941
chr1	167982	181720	6.9408710000000005
chr1	167982	181720	6.44822
chr1	173116	181720	8.693085
chr1	167982	181731	4.6151860000000005
chr1	167982	182608	4.590913
chr1	167982	187318	2.7593080000000003
chr1	167982	204433	2.088168
chr1	167982	240814	2.041651
chr1	167982	240814	2.028645
chr1	167982	240814	1.97764
chr1	167982	240814	1.981832
chr1	126603	230701	2.05198
chr1	126603	230701	2.050771
chr1	126603	230701	1.997828
chr1	126603	230701	2.003809
chr1	126603	230701	2.153947
chr1	126603	230701	2.17181
chr1	126603	230701	2.201559
chr1	126603	230701	2.1901919999999997
chr1	126603	227364	2.393487
chr1	126603	227364	2.447005
chr1	126603	227364	2.749109
chr1	126603	227364	2.85462
chr1	126603	203846	3.2467740000000003
chr1	126603	227364	2.8394310000000003
chr1	126603	227364	2.815143
chr1	126603	227364	2.773407
chr1	126603	227364	2.635805
chr1	126603	227364	2.623891
chr1	126603	227364	2.636444
chr1	126603	227364	2.6772650000000002
chr1	126603	227364	2.752815
chr1	203846	214319	3.032146
chr1	203846	214339	6.0913260000000005
chr1	203846	216539	4.840431
chr1	203846	216539	4.985485
chr1	203846	216539	7.763497999999999
chr1	126603	218798	3.159078
chr1	126603	227364	2.595631
chr1	126603	227364	2.4262240000000004
chr1	214319	310371	3.15695
chr1	214319	310371	2.736269
chr1	214319	310371	2.755921
chr1	214319	310371	2.79862
chr1	126603	228385	2.417631
chr1	214319	310371	2.34896
chr1	214319	310371	2.373005
chr1	214319	310371	2.525887
chr1	214319	310371	2.4758310000000003
chr1	214319	310371	2.201244
chr1	214319	310371	2.121469
chr1	225869	242879	2.201231
chr1	225869	242879	2.380687
chr1	225869	242879	2.794155
chr1	228385	242879	2.333031
chr1	214319	310371	1.951544
chr1	167982	310340	1.8904779999999999
chr1	214319	310340	1.970863
chr1	214319	310340	1.904153
chr1	167982	310340	1.886713
chr1	167982	310340	1.873387
chr1	167982	310340	1.860584
chr1	167982	310340	1.8533279999999999
chr1	236496	249241	2.1131990000000003
chr1	236496	249241	2.4458439999999997
chr1	236496	249241	3.3362220000000002
chr1	240677	249241	8.006057
chr1	236496	250197	2.817027
chr1	236496	253430	2.434822
chr1	236496	253430	2.160039
chr1	236496	253430	2.0623
chr1	244524	251844	5.995144
chr1	236496	253430	2.2085060000000003
chr1	236496	253430	2.7822709999999997
chr1	236496	253430	2.770273
chr1	249241	253430	4.673422
chr1	250197	253430	7.8998029999999995
chr1	250197	255457	4.2336339999999995
chr1	250197	255457	2.244687
chr1	250687	310340	2.1872529999999997
chr1	253089	310340	4.365798000000001
chr1	253089	257192	4.105593
chr1	253418	257192	9.986106
chr1	253419	257192	18.567293
chr1	253089	257192	4.066644999999999
chr1	251844	310340	3.5013360000000002
chr1	255457	310371	3.572704
