Chr	StartPos	EndPos	Likelihood
chr1	60069	60070	0.0
chr1	60125	60139	0.0
chr1	60188	60215	0.0
chr1	60234	60629	0.0
chr1	60234	60606	0.0
chr1	60645	60708	0.0
chr1	60708	60734	0.0
chr1	60766	60893	0.0
chr1	60764	60893	0.0
chr1	60919	60938	0.0
chr1	60946	60999	0.0
chr1	61047	61080	0.0
chr1	61104	61179	0.0
chr1	61179	61265	0.0
chr1	61324	61341	0.0
chr1	61341	61419	0.0
chr1	61455	61497	0.0
chr1	61518	61544	0.0
chr1	61588	61595	0.0
chr1	61606	61744	0.0
chr1	61602	61744	0.0
chr1	61770	61929	0.0
chr1	61952	63777	0.0
chr1	61929	63777	0.0
chr1	61762	63777	0.0
chr1	63777	64444	0.0
chr1	64444	66695	0.0
chr1	66695	67835	0.0
chr1	67835	68292	0.0
chr1	68292	68529	0.0
chr1	68529	69670	0.0
chr1	69670	71859	0.0
chr1	71859	72212	0.0
chr1	72212	73236	0.0
chr1	73236	74160	0.0
chr1	74160	74645	0.0
chr1	74645	81160	0.0
chr1	74645	80795	0.0
chr1	74160	80795	0.0
chr1	80795	81160	0.0
chr1	81160	102935	0.22712729999999998
chr1	81160	102389	0.0
chr1	81160	101634	0.0
chr1	81160	100962	0.0
chr1	80795	100962	0.0
chr1	100962	101634	0.0
chr1	101634	102389	0.0
chr1	102389	102935	0.0
chr1	102935	105228	0.0
chr1	105228	106077	0.3805562
chr1	105228	106077	0.0
chr1	105228	106077	0.2594806
chr1	106077	108980	0.2594806
chr1	106077	108980	0.0
chr1	108980	114110	0.0
chr1	114110	114975	0.0
chr1	114975	115422	0.0
chr1	115422	118538	0.0
chr1	115422	118370	0.0
chr1	115422	118517	0.0
chr1	115422	118306	0.0
chr1	115422	118410	0.0
chr1	115422	118359	0.0
chr1	115422	118399	0.0
chr1	115422	118385	0.0
chr1	115422	118344	0.0
chr1	118306	118344	0.0
chr1	118385	118399	0.0
chr1	118410	118517	0.0
chr1	118517	118534	0.0
chr1	118538	118614	0.0
chr1	118644	118669	0.0
chr1	118695	118736	0.0
chr1	118736	118895	0.0
chr1	118895	118927	0.0
chr1	118927	118999	0.0
chr1	118999	119142	0.0
chr1	119167	119198	0.0
chr1	119198	119355	0.0
chr1	119355	119611	0.0
chr1	119611	122012	0.0
chr1	122012	124741	0.0
chr1	122012	124675	0.0
chr1	122012	124686	0.0
chr1	122012	124729	0.0
chr1	122012	124714	0.0
chr1	122012	124705	0.0
chr1	124729	124738	0.0
chr1	124741	125560	0.0
chr1	124726	125560	0.0
chr1	124697	125560	0.0
chr1	124738	125560	0.0
chr1	124679	125560	0.0
chr1	124684	125560	0.0
chr1	125560	129438	0.0
chr1	129438	130227	0.0
chr1	130227	130928	0.0
chr1	130928	131694	0.0
chr1	131694	133480	0.0
chr1	133480	134364	0.0
chr1	134364	135882	0.0
chr1	135882	142336	0.0
chr1	142336	146671	0.0
chr1	146671	147193	0.0
chr1	147193	147944	0.0
chr1	147944	148862	0.0
chr1	148862	150404	0.0
chr1	148862	150297	0.0
chr1	150297	150404	0.0
chr1	150404	150497	0.0
chr1	150497	150644	0.0
chr1	150644	151516	0.0
chr1	151516	151664	0.0
chr1	151680	151752	0.0
chr1	151775	152641	0.0
chr1	151751	152641	0.0
chr1	152641	153394	0.0
chr1	152641	153366	0.0
chr1	153394	153648	0.0
chr1	153648	153756	0.0
chr1	153756	153985	0.0
chr1	153985	157212	0.0
chr1	153756	157212	0.0
chr1	157212	159851	0.0
chr1	157212	159851	0.103815
chr1	157212	159851	0.2594806
chr1	159851	160974	0.2594806
chr1	159851	160880	0.0
chr1	160880	160974	0.0
chr1	160974	161503	0.0
chr1	161503	161896	0.0
chr1	161896	165583	0.0
chr1	165583	166310	0.0
chr1	166310	168760	0.0
chr1	168760	172533	0.0
chr1	168760	172533	0.18875039999999998
chr1	168760	172533	0.2594806
chr1	172533	174697	0.2594806
chr1	172533	174697	0.206371
chr1	172533	174697	0.0
chr1	174697	175723	0.0
chr1	175723	177764	0.0
chr1	175723	177764	0.3236292
chr1	177764	180814	0.0
chr1	180814	181522	0.0
chr1	181522	181731	0.0
chr1	181731	182102	0.0
chr1	182102	183677	0.0
chr1	183677	185467	0.0
chr1	185467	192928	0.0
chr1	192928	193967	0.0
chr1	193967	194730	0.0
chr1	194730	196251	0.0
chr1	196251	196464	0.0
chr1	196464	199524	0.0
chr1	196464	199653	0.0
chr1	196251	199524	0.0
chr1	199524	199653	0.0
chr1	199653	203088	0.0
chr1	199524	203088	0.0
chr1	203088	203449	0.0
chr1	203449	204809	0.0
chr1	204809	205079	0.0
chr1	205079	205725	0.0
chr1	205725	205971	0.0
chr1	205971	206240	0.0
chr1	206240	207635	0.0
chr1	207635	207808	0.0
chr1	207808	207924	0.0
chr1	207808	207924	0.13468970000000002
chr1	207924	208518	0.0
chr1	208518	211563	0.0
chr1	211563	212034	0.0
chr1	212034	216118	0.0
chr1	216118	217006	0.0
chr1	217006	217350	0.0
chr1	217350	220347	0.0
chr1	220347	222474	0.0
chr1	222474	223162	0.0
chr1	223162	223324	0.0
chr1	223324	224620	0.0
chr1	224620	224748	0.0
chr1	224748	226306	0.0
chr1	226306	227304	0.0
chr1	227304	227418	0.0
chr1	227418	227942	0.0
chr1	227942	228040	0.0
chr1	228040	231870	0.0
chr1	228040	231795	0.0
chr1	228040	231614	0.0
chr1	228040	231741	0.0
chr1	228040	231736	0.0
chr1	227942	231614	0.0
chr1	231614	231736	0.0
chr1	231741	231795	0.0
chr1	231795	231870	0.0
chr1	231870	232050	0.0
chr1	232103	232166	0.0
chr1	232166	232219	0.0
chr1	232231	232438	0.0
chr1	232438	232469	0.0
chr1	232505	232536	0.0
chr1	232565	232590	0.0
chr1	232590	232646	0.0
chr1	232670	232765	0.0
chr1	232765	232903	0.0
chr1	232903	232920	0.0
chr1	232968	233033	0.0
chr1	233033	233058	0.0
chr1	233058	233110	0.0
chr1	233146	233176	0.0
chr1	233190	233291	0.0
chr1	233299	233312	0.0
chr1	233357	233374	0.0
chr1	233419	233448	0.0
chr1	233493	233503	0.0
chr1	233503	233577	0.0
chr1	233577	233645	0.0
chr1	233645	233700	0.0
chr1	233700	234027	0.0
chr1	234027	234064	0.0
chr1	234064	234102	0.0
chr1	234102	234746	0.0
chr1	234746	235377	0.0
chr1	235377	235448	0.0
chr1	235459	236299	0.0
chr1	235448	236299	0.0
chr1	236299	236496	0.0
chr1	236496	237175	0.0
chr1	236496	237156	0.0
chr1	237175	237337	0.0
chr1	237337	237635	0.0
chr1	237635	239170	0.0
chr1	237635	239157	0.0
chr1	239170	239675	0.0
chr1	239157	239675	0.0
chr1	239675	239723	0.0
chr1	239755	239989	0.0
chr1	239755	239987	0.0
chr1	240009	240677	0.0
chr1	239987	240677	0.0
chr1	240677	240814	0.0
chr1	240814	241072	0.0
chr1	241072	242186	0.0
chr1	242186	242879	0.0
chr1	242879	243288	0.0
chr1	243288	244763	0.0
chr1	244763	250188	0.0
chr1	244763	250474	0.0
chr1	250188	250474	0.0
chr1	250188	250473	0.0
chr1	250474	251018	0.0
chr1	250473	251018	0.0
chr1	251018	254031	0.0
chr1	254031	255058	0.0
chr1	255058	255457	0.0
chr1	255457	256025	0.0
chr1	256025	256911	0.0
chr1	256911	257847	0.0
chr1	257847	258008	0.0
chr1	258008	258168	0.0
chr1	258168	258369	0.0
chr1	258168	258366	0.0
chr1	258405	258799	0.0
chr1	258394	258799	0.0
chr1	258391	258799	0.0
chr1	258799	259750	0.0
chr1	259750	260455	0.0
chr1	259750	260502	0.0
chr1	260455	260502	0.0
chr1	260502	268645	0.0
chr1	260455	268645	0.0
chr1	259750	268645	0.0
chr1	268645	269378	0.0
chr1	269378	269485	0.0
chr1	269485	270632	0.0
chr1	269378	270632	0.0
chr1	270632	271187	0.0
chr1	271187	272927	0.0
chr1	272927	274544	0.0
chr1	274544	274716	0.0
chr1	274716	275126	0.0
chr1	275126	276017	0.0
chr1	275126	276017	0.1907231
chr1	276017	276597	0.0
chr1	276597	277770	0.0
chr1	277770	280713	0.0
